Error: Coluna inexistente | Code: 500 | When: 2025-11-19 01:55:10 | Content: {"message from pdo":"Unknown column 'uuid' in 'field list'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 01:56:52 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:02:44 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:03:25 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:09:04 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:09:58 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:10:18 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:11:29 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:12:42 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:12:57 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
Error: Valor duplicado | Code: 500 | When: 2025-11-19 02:13:08 | Content: {"message from pdo":"Duplicate entry 'pedro@gmail.com' for key 'users.email'"}
